NO.,INST,TYPE,DP,WD,BE,BITS,CELL_DP,CELL_WD,NEW_CELL_DP,NEW_CELL_WD,DP_Slice,WD_Slice,Total_Bits,Redundant,Valid,Note
1,A,ram_2p_1c,256,32,,,8:2:512,0:2:128,256,32,1,1,8192,0,YES,"CELL=256x32, no slice needed"
2,B,ram_1p_1c,888,64,,,16:2:256,0:2:64,256,64,4,1,65536,8704,YES,DP:4x slice (CELL=256)
